排名,名称,年份,发行商,北美销量(百万),欧洲销量(百万),日本销量(百万),其他地区销量(百万),全球销量(百万),类型,平台
1272,Drawn To Life: SpongeBob SquarePants Edition,2008,THQ,1,0.36,0,0.13,1.49,冒险,任天堂DS
1273,Banjo-Tooie,2000,Nintendo,0.82,0.36,0.25,0.06,1.49,平台跳跃,任天堂64
1274,Buzz! The BIG Quiz,2006,Sony Computer Entertainment,0,1.1,0,0.39,1.49,杂项,PlayStation 2
1275,007: Quantum of Solace,2008,Activision,0.82,0.52,0.01,0.14,1.49,动作,Xbox 360
1276,The Sims 3,2010,Electronic Arts,0.61,0.73,0,0.15,1.49,模拟,任天堂Wii
1277,New Play Control! Mario Power Tennis,2009,Nintendo,0.37,0.69,0.28,0.14,1.48,体育,任天堂Wii
1278,Bratz: Forever Diamondz,2006,THQ,0.43,0.88,0,0.18,1.48,冒险,任天堂DS
1279,Dirge of Cerberus: Final Fantasy VII,2006,Square Enix,0.47,0.37,0.52,0.12,1.48,射击,PlayStation 2
1280,Nintendo World Cup,1990,Nintendo,0.28,0.5,0.65,0.05,1.48,体育,任天堂红白机
1281,WWF WrestleMania 2000,1999,THQ,1.2,0.25,0.02,0.02,1.48,格斗,任天堂64
1282,Wario Land II,1997,Nintendo,0.7,0.35,0.39,0.04,1.48,平台跳跃,任天堂Game Boy
1283,Mass Effect 2,2011,Electronic Arts,0.78,0.47,0.03,0.2,1.48,角色扮演,PlayStation 3
1284,Major League Baseball 2K5,2005,Take-Two Interactive,0.72,0.56,0,0.19,1.48,体育,PlayStation 2
1285,Fight Night 2004,2004,Electronic Arts,1.08,0.2,0,0.2,1.48,格斗,PlayStation 2
1286,Tom Clancy's Splinter Cell: Pandora Tomorrow,2004,Ubisoft,0.82,0.59,0,0.07,1.48,动作,Xbox
1287,Imagine: Master Chef,2007,Ubisoft,0.39,0.92,0,0.17,1.47,模拟,任天堂DS
1288,Assassin's Creed III: Liberation,2012,Ubisoft,0.58,0.55,0.06,0.28,1.47,动作,PlayStation Vita
1289,SoulCalibur IV,2008,Ubisoft,0.72,0.41,0.14,0.2,1.47,格斗,PlayStation 3
1290,Mario Golf,1999,Nintendo,0.62,0.18,0.65,0.02,1.47,动作,任天堂64
1291,Disney Princess,2003,THQ,1.04,0.37,0,0.06,1.47,平台跳跃,任天堂Game Boy Advance
1292,Fight Night Round 3,2006,Electronic Arts,1.33,0.03,0.01,0.1,1.47,格斗,Xbox 360
1293,Metal Gear Rising: Revengeance,2013,Konami Digital Entertainment,0.45,0.4,0.44,0.18,1.47,动作,PlayStation 3
1294,Chrono Trigger,2008,Square Enix,0.69,0.2,0.49,0.09,1.47,角色扮演,任天堂DS
1295,Star Wars: The Force Unleashed II,2010,LucasArts,0.95,0.4,0,0.12,1.47,动作,Xbox 360
1296,The House of the Dead 2 & 3 Return,2008,Sega,0.78,0.5,0.03,0.15,1.47,射击,任天堂Wii
1297,Disney Princess: Magical Jewels,2007,Disney Interactive Studios,1.15,0.2,0,0.12,1.47,冒险,任天堂DS
1298,LittleBigPlanet PS Vita,2012,Sony Computer Entertainment,0.4,0.72,0.02,0.33,1.47,平台跳跃,PlayStation Vita
1299,Xenogears,1998,SquareSoft,0.29,0.19,0.89,0.1,1.46,角色扮演,PlayStation
1300,The SpongeBob SquarePants Movie,2004,THQ,1.02,0.38,0,0.06,1.46,平台跳跃,任天堂Game Boy Advance
1301,Tom Clancy's Ghost Recon: Future Soldier,2012,Ubisoft,0.93,0.4,0.02,0.12,1.46,射击,Xbox 360
1302,Battlefield: Bad Company,2008,Electronic Arts,0.81,0.46,0.04,0.15,1.46,射击,Xbox 360
1303,Midway Arcade Treasures,2003,Midway Games,0.72,0.56,0,0.19,1.46,杂项,PlayStation 2
1304,Wall-E,2008,THQ,0.46,0.83,0,0.17,1.46,平台跳跃,任天堂DS
1305,Triple Play 99,,,0.81,0.55,0,0.1,1.46,体育,PlayStation
1306,Homefront,2011,THQ,0.83,0.48,0.02,0.12,1.46,射击,Xbox 360
1307,Super Monkey Ball,2001,Atari,0.95,0.37,0.1,0.04,1.46,益智,任天堂GameCube
1308,Donkey Kong,1981,Coleco,1.36,0.08,0,0.02,1.46,平台跳跃,Atari 2600
1309,Mortal Kombat 4,1998,GT Interactive,0.81,0.55,0,0.1,1.46,格斗,PlayStation
1310,Mario Superstar Baseball,2005,Nintendo,0.93,0.24,0.25,0.04,1.46,体育,任天堂GameCube
1311,Mass Effect 3,2012,Electronic Arts,0.63,0.59,0.03,0.21,1.46,角色扮演,PlayStation 3
1312,LEGO Batman 2: DC Super Heroes,2012,Warner Bros. Interactive Entertainment,0.94,0.4,0,0.11,1.46,动作,任天堂Wii
1313,Medal of Honor: Warfighter,2012,Electronic Arts,0.47,0.65,0.06,0.28,1.46,动作,PlayStation 3
1314,WCW vs the World,1998,THQ,1.17,0.2,0.04,0.05,1.46,格斗,PlayStation
1315,SNK vs. Capcom: The Match of the Millennium,2006,Sega,0.53,0.58,0,0.35,1.46,格斗,PlayStation Portable
1316,LEGO City Undercover,2013,Nintendo,0.51,0.75,0.07,0.12,1.46,平台跳跃,任天堂3DS
1317,Onimusha 3: Demon Siege,2004,Capcom,0.37,0.47,0.54,0.07,1.45,动作,PlayStation 2
1318,Diablo III,2013,Activision,0.89,0.44,0,0.12,1.45,角色扮演,Xbox 360
1319,Batman: Arkham Knight,2015,Warner Bros. Interactive Entertainment,0.86,0.46,0,0.13,1.45,动作,Xbox One
1320,BioShock,2008,Take-Two Interactive,0.75,0.49,0.01,0.21,1.45,射击,PlayStation 3
1321,Red Dead Revolver,2004,Take-Two Interactive,0.71,0.55,0,0.19,1.45,射击,PlayStation 2
1322,Anno 2070,2011,Ubisoft,0,1.13,0,0.32,1.45,策略,个人电脑
1323,Resident Evil: Outbreak,2003,Capcom,0.54,0.35,0.46,0.1,1.45,动作,PlayStation 2
1324,Smarty Pants,2007,Electronic Arts,0.53,0.76,0,0.16,1.45,杂项,任天堂Wii
1325,Tamagotchi,1996,Namco Bandai Games,0,0,1.44,0.01,1.45,模拟,任天堂Game Boy
1326,4 Nin uchi Mahjong,1984,Nintendo,0,0,1.45,0,1.45,杂项,任天堂红白机
1327,Dragon Ball Z,1993,Namco Bandai Games,0,0,1.45,0,1.45,格斗,超级任天堂
1328,Game de Hakken!! Tamagotchi 2,1997,Namco Bandai Games,0,0,1.44,0.01,1.45,模拟,任天堂Game Boy
1329,Namco Museum 64,1999,Namco Bandai Games,1.24,0.17,0.03,0.01,1.45,杂项,任天堂64
1330,Hasbro Family Game Night,2008,Electronic Arts,0.97,0.34,0,0.13,1.45,益智,任天堂Wii
1331,Dragon Quest Monsters: Joker 2,2010,Square Enix,0.11,0.08,1.24,0.02,1.45,角色扮演,任天堂DS
1332,Tony Hawk's American Wasteland (Weekly american sales),2005,Activision,1.38,0.05,0,0.02,1.45,体育,PlayStation 2
1333,My Word Coach,2007,Ubisoft,0.37,0.9,0,0.18,1.45,杂项,任天堂DS
1334,Hello Kitty Party,2007,Rising Star Games,0.79,0.53,0,0.13,1.44,杂项,任天堂DS
1335,SingStar Pop,2007,Sony Computer Entertainment,0.04,1.08,0,0.32,1.44,杂项,PlayStation 2
1336,Sonic Rivals,2006,Sega,0.73,0.42,0,0.28,1.44,竞速,PlayStation Portable
1337,SimCity (2013),2013,Electronic Arts,0.48,0.77,0,0.19,1.44,模拟,个人电脑
1338,Kirby Super Star,1996,Nintendo,0.26,0.07,1.09,0.02,1.44,平台跳跃,超级任天堂
1339,Far Cry 4,2014,Ubisoft,0.33,0.79,0.08,0.23,1.44,射击,PlayStation 3
1340,WWE SmackDown vs Raw 2008,2007,THQ,0.92,0.38,0,0.13,1.44,格斗,Xbox 360
1341,Kinect Joy Ride,2010,Microsoft Game Studios,0.92,0.4,0,0.12,1.44,竞速,Xbox 360
1342,Rayman Raving Rabbids,2006,Ubisoft,1.23,0.07,0.02,0.11,1.44,杂项,任天堂Wii
1343,Need for Speed Rivals,2013,Electronic Arts,0.33,0.74,0.05,0.31,1.44,竞速,PlayStation 3
1344,Tiger Woods PGA Tour 2005,2004,Electronic Arts,1.03,0.32,0,0.09,1.44,体育,PlayStation 2
1345,Dead Space 2,2011,Electronic Arts,0.73,0.5,0,0.21,1.44,射击,PlayStation 3
1346,NCAA Football 2003,2002,Electronic Arts,1.16,0.08,0,0.19,1.44,体育,PlayStation 2
1347,Frogger 2: Swampy's Revenge,1999,Hasbro Interactive,0.8,0.54,0,0.09,1.43,动作,PlayStation
1348,Disney Infinity,2013,Disney Interactive Studios,0.96,0.37,0,0.11,1.43,动作,Xbox 360
1349,LEGO Indiana Jones 2: The Adventure Continues,2009,Activision,0.91,0.39,0,0.13,1.43,动作,任天堂Wii
1350,Sonic's Ultimate Genesis Collection,2009,Sega,0.85,0.46,0,0.13,1.43,杂项,Xbox 360
1351,Tiger Woods PGA Tour 09 All-Play,2008,Electronic Arts,0.81,0.48,0,0.14,1.43,体育,任天堂Wii
1352,Disney's DuckTales,1988,Capcom,0.82,0.23,0.35,0.03,1.43,平台跳跃,任天堂Game Boy
1353,Classic NES Series: Super Mario Bros.,2004,Nintendo,0,0,1.39,0.03,1.43,平台跳跃,任天堂Game Boy Advance
1354,Triple Play 2000,1999,Electronic Arts,0.79,0.54,0,0.09,1.43,体育,PlayStation
1355,Dragon Quest VII: Warriors of Eden,2013,Square Enix,0.07,0.04,1.3,0.01,1.42,角色扮演,任天堂3DS
1356,Cabela's Big Game Hunter,2002,Activision,0.7,0.54,0,0.18,1.42,体育,PlayStation 2
1357,UFC Undisputed 2010,2010,THQ,0.8,0.41,0.02,0.19,1.42,格斗,PlayStation 3
1358,NBA Live 06 (Weekly american sales),2005,Electronic Arts,1.35,0.05,0,0.02,1.42,体育,PlayStation 2
1359,The Legend of Zelda: The Minish Cap,2004,Nintendo,0.89,0.22,0.22,0.1,1.42,动作,任天堂Game Boy Advance
1360,NFL Street,2004,Electronic Arts,1.15,0.08,0,0.19,1.42,体育,PlayStation 2
1361,Sonic Generations,2011,Sega,0.71,0.57,0,0.14,1.42,平台跳跃,Xbox 360
1362,Super Metroid,1994,Nintendo,0.57,0.12,0.71,0.02,1.42,动作,超级任天堂
1363,Pro Yakyuu Family Stadium '87,1987,Namco Bandai Games,0.12,0,1.3,0,1.42,体育,任天堂红白机
1364,Dead Space,2008,Electronic Arts,0.89,0.4,0,0.13,1.42,动作,Xbox 360
1365,Resident Evil (Remake),2002,Capcom,0.63,0.38,0.35,0.05,1.42,动作,任天堂GameCube
1366,Inazuma Eleven 2,2009,Nintendo,0,0.21,1.18,0.03,1.42,角色扮演,任天堂DS
1367,Tomb Raider (2013),2014,Square Enix,0.47,0.64,0.06,0.25,1.41,动作,PlayStation 4
1368,LEGO Star Wars II: The Original Trilogy,2006,LucasArts,0.58,0.51,0,0.32,1.41,动作,PlayStation Portable
1369,Toy Story 3: The Video Game,2010,Disney Interactive Studios,0.64,0.63,0,0.14,1.41,动作,任天堂Wii
1370,Fight Night Round 4,2009,Electronic Arts,0.95,0.34,0,0.13,1.41,格斗,Xbox 360
1371,LEGO Star Wars: The Video Game,2005,Eidos Interactive,1.09,0.28,0,0.04,1.41,动作,任天堂GameCube
1372,Injustice: Gods Among Us,2013,Warner Bros. Interactive Entertainment,0.97,0.34,0,0.11,1.41,格斗,Xbox 360
1373,Madden NFL 15,2014,Electronic Arts,1.07,0.15,0,0.19,1.41,体育,PlayStation 3
1374,Disney's The Lion King,1994,Virgin Interactive,0.97,0.37,0.03,0.05,1.41,平台跳跃,世嘉Genesis
1375,Ridge Racer,2004,Sony Computer Entertainment,0.36,0.45,0.32,0.28,1.41,竞速,PlayStation Portable
1376,Metroid: Other M,2010,Nintendo,0.87,0.31,0.13,0.1,1.41,动作,任天堂Wii
1377,Knockout Kings 2000,1999,Electronic Arts,1.02,0.34,0,0.05,1.41,格斗,PlayStation
1378,Gran Turismo 4 Prologue,2003,Sony Computer Entertainment,0,0.47,0.77,0.17,1.41,竞速,PlayStation 2
1379,Twisted Metal: Black,2001,Sony Computer Entertainment,1.19,0.17,0,0.05,1.41,竞速,PlayStation 2
1380,NASCAR 2005: Chase for the Cup,2004,Electronic Arts,0.69,0.54,0,0.18,1.41,竞速,PlayStation 2
1381,Call of Duty: Black Ops,2010,Activision,0.82,0.47,0,0.12,1.4,射击,任天堂Wii
1382,Spider-Man: The Movie,2002,Activision,1.07,0.28,0,0.05,1.4,动作,Xbox
1383,Need For Speed: Undercover,2008,Electronic Arts,0.38,0.08,0.03,0.93,1.4,竞速,PlayStation 2
1384,2Xtreme,1996,Sony Computer Entertainment,1.15,0.2,0,0.05,1.4,体育,PlayStation
1385,Far Cry 2,2008,Ubisoft,0.43,0.7,0.01,0.27,1.4,动作,PlayStation 3
1386,Sonic Advance 3,2004,THQ,0.74,0.52,0.08,0.06,1.4,平台跳跃,任天堂Game Boy Advance
1387,Final Fantasy III,1990,SquareSoft,0,0,1.39,0.01,1.4,角色扮演,任天堂红白机
1388,Battlefield 4,2013,Electronic Arts,0.38,0.86,0,0.16,1.4,射击,个人电脑
1389,Colin McRae Rally 3,2002,Codemasters,0.03,1.05,0.02,0.3,1.4,竞速,PlayStation 2
1390,Madden NFL 2002,2001,Electronic Arts,0.78,0.53,0,0.09,1.39,体育,PlayStation
1391,Doom (2016),2016,Bethesda Softworks,0.49,0.66,0.02,0.22,1.39,射击,PlayStation 4
1392,Final Fantasy XII: Revenant Wings,2007,Square Enix,0.34,0.42,0.54,0.1,1.39,角色扮演,任天堂DS
1393,Bakugan: Battle Brawlers,2009,Activision,1.27,0.02,0,0.09,1.39,动作,任天堂DS
1394,Deus Ex: Human Revolution,2011,Square Enix,0.5,0.6,0.07,0.23,1.39,射击,PlayStation 3
1395,NBA Jam,1994,Acclaim Entertainment,1.19,0.16,0,0.03,1.39,体育,超级任天堂
1396,Teenage Mutant Ninja Turtles III: The Manhattan Project,1991,Konami Digital Entertainment,1.05,0.17,0.15,0.02,1.39,动作,任天堂红白机
1397,Dynasty Warriors 5,2005,Tecmo Koei,0.24,0.18,0.91,0.06,1.39,动作,PlayStation 2
1398,Hannah Montana: Spotlight World Tour,2007,Disney Interactive Studios,0.87,0.38,0,0.13,1.39,动作,任天堂Wii
1399,WWE '13,2012,THQ,0.51,0.62,0,0.26,1.39,动作,PlayStation 3
1400,Deus Ex: Human Revolution,2011,Square Enix,0.76,0.48,0.02,0.12,1.39,射击,Xbox 360
1401,True Crime: Streets of LA,2003,Activision,0.96,0.37,0,0.05,1.38,动作,Xbox
1402,The Sims 2,2005,Electronic Arts,0.49,0.56,0,0.33,1.38,模拟,PlayStation Portable
1403,Paper Mario,2000,Nintendo,0.58,0.18,0.59,0.02,1.38,角色扮演,任天堂64
1404,Bravely Default: Flying Fairy,2012,Nintendo,0.5,0.32,0.49,0.07,1.38,角色扮演,任天堂3DS
1405,Titanfall,2014,Electronic Arts,0.87,0.38,0.02,0.11,1.38,射击,Xbox 360
1406,Duke Nukem: Time to Kill,1998,Take-Two Interactive,0.77,0.54,0,0.07,1.38,射击,PlayStation
1407,Persona 4: Golden,2012,Atlus,0.46,0.34,0.38,0.21,1.38,角色扮演,PlayStation Vita
1408,Dead Rising 2,2010,Capcom,0.43,0.57,0.15,0.22,1.38,动作,PlayStation 3
1409,Hasbro Family Game Night 2,2009,Electronic Arts,0.71,0.53,0,0.13,1.38,杂项,任天堂Wii
1410,Disney Princess: Enchanted Journey,2007,Disney Interactive Studios,1.24,0.04,0,0.09,1.38,冒险,任天堂Wii
1411,Gardening Mama,2009,505 Games,0.8,0.43,0.01,0.13,1.38,益智,任天堂DS
1412,Dave Mirra Freestyle BMX 2,2001,Acclaim Entertainment,0.67,0.53,0,0.18,1.38,体育,PlayStation 2
1413,Need for Speed: The Run,2011,Electronic Arts,0.63,0.58,0,0.15,1.38,动作,Xbox 360
1414,LEGO Indiana Jones: The Original Adventures,2008,LucasArts,0.6,0.01,0,0.76,1.37,动作,PlayStation 2
1415,Assassin's Creed: Rogue,2014,Ubisoft,0.46,0.62,0.06,0.23,1.37,动作,PlayStation 3
1416,Ridge Racer 7,2006,Namco Bandai Games,0.24,0.7,0.16,0.26,1.37,竞速,PlayStation 3
1417,A Collection of Activision Classic Games for the Atari 2600,1998,Activision,0.76,0.52,0,0.09,1.37,杂项,PlayStation
1418,Forza Horizon 2,2014,Microsoft Game Studios,0.5,0.78,0.01,0.09,1.37,竞速,Xbox One
1419,MotorStorm: Pacific Rift,2008,Sony Computer Entertainment,0.43,0.67,0.02,0.26,1.37,竞速,PlayStation 3
1420,Sonic Colors,2010,Sega,0.74,0.5,0.01,0.13,1.37,平台跳跃,任天堂DS
1421,Star Wars Knights of the Old Republic II: The Sith Lords,2004,Activision,0.99,0.33,0,0.05,1.37,角色扮演,Xbox
1422,LEGO Harry Potter: Years 1-4,2010,Warner Bros. Interactive Entertainment,0.55,0.6,0,0.22,1.37,动作,PlayStation 3
1423,Pocket Monsters Stadium,1998,Nintendo,0,0,1.37,0,1.37,策略,任天堂64
1424,NBA 2K15,2014,Take-Two Interactive,0.86,0.27,0.02,0.22,1.36,体育,PlayStation 3
1425,Tom Clancy's Ghost Recon 2,2004,Ubisoft,0.86,0.45,0,0.06,1.36,射击,Xbox
1426,Crash Bandicoot 2: N-Tranced,2003,Vivendi Games,0.63,0.66,0,0.07,1.36,平台跳跃,任天堂Game Boy Advance
1427,Burnout Paradise,2008,Electronic Arts,0.63,0.58,0.01,0.15,1.36,竞速,Xbox 360
1428,SingStar Abba,2008,Sony Computer Entertainment,0.23,0.04,0,1.09,1.36,杂项,PlayStation 2
1429,Gradius,1986,Konami Digital Entertainment,0.27,0.08,1,0.01,1.36,射击,任天堂红白机
1430,Dragon Quest III: Soshite Densetsu e...,1996,Enix Corporation,0,0,1.36,0,1.36,角色扮演,超级任天堂
1431,Centipede,1981,Atari,1.26,0.08,0,0.01,1.36,射击,Atari 2600
1432,Yoshi's New Island,2014,Nintendo,0.47,0.51,0.28,0.09,1.36,平台跳跃,任天堂3DS
1433,Ryse: Son of Rome,2013,Microsoft Game Studios,0.82,0.42,0,0.11,1.36,动作,Xbox One
1434,Dead to Rights,2002,Electronic Arts,0.67,0.52,0,0.17,1.36,射击,PlayStation 2
1435,LEGO Harry Potter: Years 5-7,,Warner Bros. Interactive Entertainment,0.76,0.47,0,0.13,1.36,动作,任天堂Wii
1436,Marvel vs. Capcom 3: Fate of Two Worlds,2011,Capcom,0.81,0.29,0.11,0.14,1.35,格斗,PlayStation 3
1437,Dance Dance Revolution (Japan),1999,Konami Digital Entertainment,0,0,1.26,0.09,1.35,模拟,PlayStation
1438,F1 2010,2010,Codemasters,0.25,0.76,0.08,0.27,1.35,竞速,PlayStation 3
1439,Madden NFL 98,1997,Electronic Arts,1.29,0.03,0,0.03,1.35,体育,PlayStation
1440,FIFA Soccer 09,2008,Electronic Arts,0.23,0.73,0.02,0.37,1.35,体育,PlayStation Portable
1441,Namco Museum DS,2007,Atari,1.18,0.01,0.06,0.09,1.35,杂项,任天堂DS
1442,FIFA Soccer 08,2007,Electronic Arts,0.2,0.76,0,0.39,1.35,体育,PlayStation Portable
1443,Grand Theft Auto: Chinatown Wars,2009,Take-Two Interactive,0.59,0.57,0.05,0.14,1.35,动作,任天堂DS
1444,Alan Wake,2010,Microsoft Game Studios,0.66,0.51,0.05,0.13,1.35,动作,Xbox 360
1445,Battlefield: Bad Company,2008,Electronic Arts,0.76,0.36,0.05,0.18,1.35,射击,PlayStation 3
1446,Mortal Kombat X,2015,Warner Bros. Interactive Entertainment,1,0.21,0,0.13,1.35,格斗,Xbox One
1447,Samurai Warriors,2004,Electronic Arts,0.22,0.05,1.06,0.02,1.35,动作,PlayStation 2
1448,The Simpsons: Hit & Run,2003,Vivendi Games,0.7,0.58,0,0.07,1.35,竞速,Xbox
1449,Devil May Cry 4,2008,Capcom,0.79,0.34,0.08,0.13,1.35,动作,Xbox 360
1450,Tom Clancy's Rainbow Six: Vegas 2,2008,Ubisoft,0.66,0.45,0.04,0.21,1.35,射击,PlayStation 3
1451,Monster Hunter Freedom,2005,Capcom,0.24,0.04,1.03,0.04,1.35,角色扮演,PlayStation Portable
1452,Crysis 2,2011,Electronic Arts,0.7,0.5,0.02,0.12,1.35,动作,Xbox 360
1453,SaGa Frontier,1997,SquareSoft,0.15,0.04,1.07,0.09,1.35,角色扮演,PlayStation
1454,SingStar Party,2004,Sony Computer Entertainment,0,1.04,0,0.31,1.35,杂项,PlayStation 2
1455,FIFA Soccer 08,2007,Electronic Arts,0.31,0.89,0.01,0.14,1.35,体育,Xbox 360
1456,The ICO & Shadow of the Colossus Collection,2011,Sony Computer Entertainment,0.67,0.37,0.13,0.17,1.35,冒险,PlayStation 3
1457,Test Drive,2002,Atari,0.95,0.21,0.01,0.18,1.34,竞速,PlayStation 2
1458,Mario & Luigi: Partners in Time,2005,Nintendo,0.77,0.07,0.43,0.08,1.34,角色扮演,任天堂DS
1459,Lost Planet: Extreme Condition,2006,Capcom,1.09,0.04,0.1,0.11,1.34,射击,Xbox 360
1460,Mortal Kombat 3,1994,Acclaim Entertainment,1.03,0.27,0,0.04,1.34,格斗,世嘉Genesis
1461,Doom 3,2005,Activision,0.85,0.43,0,0.06,1.34,射击,Xbox
1462,Donkey Kong Jungle Beat,2004,Nintendo,0.84,0.22,0.24,0.04,1.34,平台跳跃,任天堂GameCube
1463,Need for Speed Carbon,2006,Electronic Arts,1.22,0.05,0.05,0.01,1.34,竞速,PlayStation 2
1464,Max Payne 2: The Fall of Max Payne,2003,Take-Two Interactive,0.65,0.51,0,0.17,1.34,射击,PlayStation 2
1465,Command & Conquer: Red Alert 2,2000,Electronic Arts,1.32,0.02,0,0,1.34,策略,个人电脑
1466,MVP Baseball 2004,2004,Electronic Arts,1.1,0.06,0,0.18,1.34,体育,PlayStation 2
1467,WWE SmackDown vs Raw 2008,2007,THQ,0.62,0.5,0.01,0.21,1.33,格斗,PlayStation 3
1468,Ratchet & Clank: Up Your Arsenal (Weekly american sales),2004,Sony Computer Entertainment,1.27,0.05,0,0.02,1.33,平台跳跃,PlayStation 2
1469,Your Shape: Fitness Evolved,2010,Ubisoft,0.79,0.42,0,0.11,1.33,体育,Xbox 360
1470,Rage,2011,Bethesda Softworks,0.47,0.59,0.06,0.21,1.33,射击,PlayStation 3
1471,Skylanders SWAP Force,2013,Activision,0.86,0.36,0,0.11,1.33,平台跳跃,Xbox 360
1472,NBA 2K14,2013,Take-Two Interactive,0.89,0.31,0.01,0.12,1.33,体育,PlayStation 4
1473,Spider-Man: The Movie,2002,Activision,0.92,0.35,0.01,0.05,1.33,动作,任天堂Game Boy Advance
1474,WWF War Zone,1998,Acclaim Entertainment,1.08,0.24,0,0.02,1.33,格斗,任天堂64
1475,Tony Hawk's Pro Skater,2000,Activision,0.9,0.38,0.01,0.05,1.33,体育,任天堂Game Boy
1476,The Sims: Bustin' Out,2003,Electronic Arts,0.93,0.35,0,0.06,1.33,模拟,任天堂Game Boy Advance
1477,Triple Play 2001,2000,Electronic Arts,0.74,0.5,0,0.09,1.33,体育,PlayStation
1478,Metroid Prime 2: Echoes,2004,Nintendo,0.87,0.35,0.07,0.04,1.33,射击,任天堂GameCube
1479,UFC Undisputed 2010,2010,THQ,0.9,0.31,0,0.11,1.33,格斗,Xbox 360
1480,Final Fantasy X / X-2 HD Remaster,2013,Square Enix,0.43,0.4,0.32,0.18,1.33,角色扮演,PlayStation 3
1481,Corvette,2004,TDK Mediactive,0.65,0.51,0,0.17,1.33,竞速,PlayStation 2
1482,Petz Wild Animals: Dolphinz,2007,Ubisoft,0.71,0.48,0,0.13,1.33,模拟,任天堂DS
1483,Pokemon Ranger: Guardian Signs,2010,Nintendo,0.51,0.17,0.58,0.06,1.33,角色扮演,任天堂DS
1484,Middle-Earth: Shadow of Mordor,2014,Warner Bros. Interactive Entertainment,0.72,0.5,0.01,0.1,1.32,动作,Xbox One
1485,Need for Speed Underground Rivals,2005,Electronic Arts,0.69,0.38,0.02,0.24,1.32,竞速,PlayStation Portable
1486,LEGO Batman: The Videogame,2008,Warner Bros. Interactive Entertainment,0.72,0.42,0,0.19,1.32,动作,PlayStation 3
1487,Dark Souls II,2014,Namco Bandai Games,0.4,0.36,0.4,0.17,1.32,角色扮演,PlayStation 3
1488,World of Warcraft: Wrath of the Lich King,2008,Activision,0.01,0.13,0,1.18,1.32,角色扮演,个人电脑
1489,Kingdom Hearts II,2014,Square Enix,0.52,0.43,0.18,0.19,1.32,角色扮演,PlayStation 3
1490,The LEGO Movie Videogame,2014,Warner Bros. Interactive Entertainment,0.69,0.52,0,0.11,1.32,动作,Xbox 360
1491,TOCA 2: Touring Cars,1998,Codemasters,0.03,1.16,0.02,0.11,1.32,竞速,PlayStation
1492,Gyromite,1985,Nintendo,0.73,0.16,0.4,0.03,1.32,益智,任天堂红白机
1493,NFL 2K3,2002,Atari,1.06,0.08,0,0.18,1.32,体育,PlayStation 2
1494,Fighting Force,1997,Eidos Interactive,0.73,0.5,0,0.09,1.32,格斗,PlayStation
1495,Mega Man Battle Network 4: Red Sun / Blue Moon,2003,Capcom,0.31,0.04,0.96,0.01,1.32,角色扮演,任天堂Game Boy Advance
1496,MAG: Massive Action Game,2010,Sony Computer Entertainment,0.77,0.3,0.09,0.16,1.32,射击,PlayStation 3
1497,Madden NFL 97,1996,Electronic Arts,0.73,0.5,0,0.09,1.32,体育,PlayStation
1498,Cars 2,2011,Disney Interactive Studios,0.72,0.44,0.04,0.12,1.32,竞速,任天堂DS
1499,Skylanders Giants,2012,Activision,0.75,0.45,0,0.11,1.32,动作,Xbox 360
1500,LEGO Batman: The Videogame,,Warner Bros. Interactive Entertainment,0.57,0.46,0,0.28,1.32,动作,PlayStation Portable
1501,TNN Motor Sports Hardcore 4x4,1996,ASC Games,0.73,0.5,0,0.09,1.31,竞速,PlayStation
1502,IHRA Drag Racing 2,2002,Bethesda Softworks,0.64,0.5,0,0.17,1.31,竞速,PlayStation 2
1503,The Beatles: Rock Band,2009,MTV Games,0.97,0.23,0,0.11,1.31,杂项,Xbox 360
1504,Tekken 6,2009,Namco Bandai Games,0.71,0.42,0.05,0.13,1.31,格斗,Xbox 360
1505,[Prototype],2009,Activision,0.84,0.35,0,0.12,1.31,动作,Xbox 360
1506,Deal or No Deal,2009,Zoo Games,1.22,0,0,0.09,1.31,杂项,任天堂Wii
1507,Madagascar,2005,Activision,0.78,0.45,0,0.07,1.31,平台跳跃,PlayStation 2
1508,Rugrats Studio Tour,1999,THQ,0.57,0.67,0,0.07,1.31,冒险,PlayStation
1509,LEGO Battles,2009,Warner Bros. Interactive Entertainment,0.81,0.38,0,0.12,1.31,策略,任天堂DS
1510,Pitfall II: Lost Caverns,1983,Activision,1.22,0.07,0,0.02,1.31,平台跳跃,Atari 2600
1511,Turok: Evolution,2002,Acclaim Entertainment,0.64,0.5,0,0.17,1.31,射击,PlayStation 2
1512,High School Musical 3: Senior Year DANCE!,2008,Disney Interactive Studios,0.68,0.49,0,0.13,1.31,杂项,任天堂Wii
1513,Gold's Gym: Cardio Workout,2008,Ubisoft,1.11,0.04,0.06,0.09,1.31,体育,任天堂Wii
1514,Burnout 3: Takedown,2004,Electronic Arts,0.84,0.43,0,0.04,1.31,竞速,Xbox
1515,Adventure,,Atari,1.21,0.08,0,0.01,1.3,冒险,Atari 2600
1516,Yu-Gi-Oh! The Sacred Cards,2002,Konami Digital Entertainment,0.94,0.35,0,0.02,1.3,角色扮演,任天堂Game Boy Advance
1517,Crysis 2,2011,Electronic Arts,0.45,0.57,0.06,0.21,1.3,动作,PlayStation 3
1518,NBA Live 07,2006,Electronic Arts,1.07,0.04,0.02,0.17,1.3,体育,PlayStation 2
